ds,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,daily_volume,roi,margin,potential_profit,margin_x_volume,fetched_at,source,item_id,_raw_json
2026-02-07 00:00:00+00:00,1770422400,6,6,1040712,939301,1980013,0.0,0.0,0.0,0.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1770422400, ""avgHighPrice"": 6, ""avgLowPrice"": 6, ""highPriceVolume"": 1040712, ""lowPriceVolume"": 939301}"
2026-02-08 00:00:00+00:00,1770508800,6,5,1228616,591755,1820371,20.0,1.0,1820371.0,1820371.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1770508800, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 1228616, ""lowPriceVolume"": 591755}"
2026-02-09 00:00:00+00:00,1770595200,5,5,7670211,1495873,9166084,0.0,0.0,0.0,0.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1770595200, ""avgHighPrice"": 5, ""avgLowPrice"": 5, ""highPriceVolume"": 7670211, ""lowPriceVolume"": 1495873}"
2026-02-10 00:00:00+00:00,1770681600,6,5,4801291,2493677,7294968,20.0,1.0,7294968.0,7294968.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1770681600, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 4801291, ""lowPriceVolume"": 2493677}"
2026-02-11 00:00:00+00:00,1770768000,5,5,56320478,19582938,75903416,0.0,0.0,0.0,0.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1770768000, ""avgHighPrice"": 5, ""avgLowPrice"": 5, ""highPriceVolume"": 56320478, ""lowPriceVolume"": 19582938}"
2026-02-12 00:00:00+00:00,1770854400,5,5,4870198,3253591,8123789,0.0,0.0,0.0,0.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1770854400, ""avgHighPrice"": 5, ""avgLowPrice"": 5, ""highPriceVolume"": 4870198, ""lowPriceVolume"": 3253591}"
2026-02-13 00:00:00+00:00,1770940800,5,5,41437012,21249467,62686479,0.0,0.0,0.0,0.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1770940800, ""avgHighPrice"": 5, ""avgLowPrice"": 5, ""highPriceVolume"": 41437012, ""lowPriceVolume"": 21249467}"
2026-02-14 00:00:00+00:00,1771027200,6,5,37642494,18476913,56119407,20.0,1.0,56119407.0,56119407.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1771027200, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 37642494, ""lowPriceVolume"": 18476913}"
2026-02-15 00:00:00+00:00,1771113600,6,5,8748875,5115716,13864591,20.0,1.0,13864591.0,13864591.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1771113600, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 8748875, ""lowPriceVolume"": 5115716}"
2026-02-16 00:00:00+00:00,1771200000,6,5,26715346,12344151,39059497,20.0,1.0,39059497.0,39059497.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1771200000, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 26715346, ""lowPriceVolume"": 12344151}"
2026-02-17 00:00:00+00:00,1771286400,6,5,8170372,5075946,13246318,20.0,1.0,13246318.0,13246318.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1771286400, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 8170372, ""lowPriceVolume"": 5075946}"
2026-02-18 00:00:00+00:00,1771372800,6,5,8707549,4354028,13061577,20.0,1.0,13061577.0,13061577.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1771372800, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 8707549, ""lowPriceVolume"": 4354028}"
2026-02-19 00:00:00+00:00,1771459200,6,5,7919929,5510431,13430360,20.0,1.0,13430360.0,13430360.0,2026-08-07T15:11:26.634526+00:00,timeseries_24h,556,"{""timestamp"": 1771459200, ""avgHighPrice"": 6, ""avgLowPrice"": 5, ""highPriceVolume"": 7919929, ""lowPriceVolume"": 5510431}"
