ds,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume,daily_volume,roi,margin,potential_profit,margin_x_volume,fetched_at,source,item_id,_raw_json
2026-07-23 06:00:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:01:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:02:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:03:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:04:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:05:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:06:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:07:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:08:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
2026-07-23 06:09:00+00:00,1784786400.0,104.0,101.0,1046951.0,377137.0,1424088.0,2.9702970297029703,3.0,4272264.0,4272264.0,2026-08-07T11:46:54.266296+00:00,timeseries_1h,562,"{""timestamp"": 1784786400, ""avgHighPrice"": 104, ""avgLowPrice"": 101, ""highPriceVolume"": 1046951, ""lowPriceVolume"": 377137}"
