timestamp,timestamp_unix_ms,instabuy,instasell,instabuy_volume,instasell_volume
2026-08-06 00:35:00+00:00,1785976500000,109,106,180054,15975
2026-08-06 00:40:00+00:00,1785976800000,111,108,127048,50977
2026-08-06 00:45:00+00:00,1785977100000,111,108,36489,73398
2026-08-06 00:50:00+00:00,1785977400000,108,107,189877,120153
2026-08-06 00:55:00+00:00,1785977700000,110,105,101641,65722
2026-08-06 01:00:00+00:00,1785978000000,110,107,134918,29940
2026-08-06 01:05:00+00:00,1785978300000,111,110,229237,13994
2026-08-06 01:10:00+00:00,1785978600000,110,107,119096,149843
2026-08-06 01:15:00+00:00,1785978900000,109,106,238198,159199
2026-08-06 01:20:00+00:00,1785979200000,110,108,91684,33897
2026-08-06 01:25:00+00:00,1785979500000,110,106,88836,59198
2026-08-06 01:30:00+00:00,1785979800000,110,106,128496,16454
2026-08-06 01:35:00+00:00,1785980100000,109,105,151438,75318
2026-08-06 01:40:00+00:00,1785980400000,110,106,151158,98435
2026-08-06 01:45:00+00:00,1785980700000,110,105,60889,122497
2026-08-06 01:50:00+00:00,1785981000000,109,106,64854,32879
2026-08-06 01:55:00+00:00,1785981300000,109,104,196956,19227
2026-08-06 02:00:00+00:00,1785981600000,110,107,77343,61077
2026-08-06 02:05:00+00:00,1785981900000,110,107,83950,67923
2026-08-06 02:10:00+00:00,1785982200000,111,107,97403,77057
2026-08-06 02:15:00+00:00,1785982500000,108,106,42928,92592
2026-08-06 02:20:00+00:00,1785982800000,108,106,65006,72125
2026-08-06 02:25:00+00:00,1785983100000,109,105,97882,68753
2026-08-06 02:30:00+00:00,1785983400000,110,105,217987,196131
2026-08-06 02:35:00+00:00,1785983700000,110,106,67782,58920
2026-08-06 02:40:00+00:00,1785984000000,108,106,72816,105600
2026-08-06 02:45:00+00:00,1785984300000,106,105,147090,88755
2026-08-06 02:50:00+00:00,1785984600000,108,105,107178,30302
2026-08-06 02:55:00+00:00,1785984900000,110,108,34914,94628
2026-08-06 03:00:00+00:00,1785985200000,108,106,124838,92736
2026-08-06 03:05:00+00:00,1785985500000,109,106,99438,25213
2026-08-06 03:10:00+00:00,1785985800000,108,105,73391,90934
2026-08-06 03:15:00+00:00,1785986100000,109,105,62138,47348
2026-08-06 03:20:00+00:00,1785986400000,107,105,86098,144461
2026-08-06 03:25:00+00:00,1785986700000,106,104,315687,77839
2026-08-06 03:30:00+00:00,1785987000000,107,106,76464,24464
2026-08-06 03:35:00+00:00,1785987300000,106,106,37600,104300
2026-08-06 03:40:00+00:00,1785987600000,108,106,61053,128015
2026-08-06 03:45:00+00:00,1785987900000,111,108,79054,68673
2026-08-06 03:50:00+00:00,1785988200000,109,105,133866,99342
2026-08-06 03:55:00+00:00,1785988500000,107,106,145830,90211
2026-08-06 04:00:00+00:00,1785988800000,107,105,188893,9641
2026-08-06 04:05:00+00:00,1785989100000,109,105,156685,30754
2026-08-06 04:10:00+00:00,1785989400000,110,106,214103,103370
2026-08-06 04:15:00+00:00,1785989700000,109,105,66926,112064
2026-08-06 04:20:00+00:00,1785990000000,109,105,117379,59994
2026-08-06 04:25:00+00:00,1785990300000,108,104,276335,99053
2026-08-06 04:30:00+00:00,1785990600000,111,106,59246,44432
2026-08-06 04:35:00+00:00,1785990900000,110,106,54185,118955
2026-08-06 04:40:00+00:00,1785991200000,108,105,146544,49114
2026-08-06 04:45:00+00:00,1785991500000,107,104,83679,89442
2026-08-06 04:50:00+00:00,1785991800000,109,106,123832,91972
2026-08-06 04:55:00+00:00,1785992100000,108,106,95288,136430
2026-08-06 05:00:00+00:00,1785992400000,107,105,73045,51552
2026-08-06 05:05:00+00:00,1785992700000,107,105,56830,49499
2026-08-06 05:10:00+00:00,1785993000000,106,105,54631,97418
2026-08-06 05:15:00+00:00,1785993300000,108,105,98456,72306
2026-08-06 05:20:00+00:00,1785993600000,106,105,7538,27703
2026-08-06 05:25:00+00:00,1785993900000,106,105,15378,47773
2026-08-06 05:30:00+00:00,1785994200000,107,105,42350,53607
2026-08-06 05:35:00+00:00,1785994500000,107,105,207888,66264
2026-08-06 05:40:00+00:00,1785994800000,106,104,125684,210801
2026-08-06 05:45:00+00:00,1785995100000,108,105,67483,64338
2026-08-06 05:50:00+00:00,1785995400000,108,105,83660,16882
2026-08-06 05:55:00+00:00,1785995700000,110,105,122399,133111
2026-08-06 06:00:00+00:00,1785996000000,107,104,108004,29568
2026-08-06 06:05:00+00:00,1785996300000,108,106,111134,54013
2026-08-06 06:10:00+00:00,1785996600000,107,105,108852,62458
2026-08-06 06:15:00+00:00,1785996900000,107,105,167387,96409
2026-08-06 06:20:00+00:00,1785997200000,107,104,155597,47125
2026-08-06 06:25:00+00:00,1785997500000,107,104,76856,29792
2026-08-06 06:30:00+00:00,1785997800000,108,105,65823,98692
2026-08-06 06:35:00+00:00,1785998100000,105,103,65083,20062
2026-08-06 06:40:00+00:00,1785998400000,106,106,124457,16817
2026-08-06 06:45:00+00:00,1785998700000,109,105,54615,44277
2026-08-06 06:50:00+00:00,1785999000000,109,106,36282,53301
2026-08-06 06:55:00+00:00,1785999300000,108,104,48150,329046
2026-08-06 07:00:00+00:00,1785999600000,108,106,66331,27989
2026-08-06 07:05:00+00:00,1785999900000,107,105,186971,46276
2026-08-06 07:10:00+00:00,1786000200000,107,104,69062,142456
2026-08-06 07:15:00+00:00,1786000500000,106,105,13580,35933
2026-08-06 07:20:00+00:00,1786000800000,107,104,46889,24043
2026-08-06 07:25:00+00:00,1786001100000,107,105,29887,27949
2026-08-06 07:30:00+00:00,1786001400000,108,107,27409,25641
2026-08-06 07:35:00+00:00,1786001700000,107,105,62701,14888
2026-08-06 07:40:00+00:00,1786002000000,107,105,54428,67184
2026-08-06 07:45:00+00:00,1786002300000,108,105,58136,16428
2026-08-06 07:50:00+00:00,1786002600000,105,106,4365,39859
2026-08-06 07:55:00+00:00,1786002900000,107,105,136594,78542
2026-08-06 08:00:00+00:00,1786003200000,107,104,17642,21124
2026-08-06 08:05:00+00:00,1786003500000,107,105,51505,34094
2026-08-06 08:10:00+00:00,1786003800000,108,107,13790,11740
2026-08-06 08:15:00+00:00,1786004100000,107,107,10131,14232
2026-08-06 08:20:00+00:00,1786004400000,106,105,23827,36910
2026-08-06 08:25:00+00:00,1786004700000,108,107,7675,12037
2026-08-06 08:30:00+00:00,1786005000000,107,106,31120,24391
2026-08-06 08:35:00+00:00,1786005300000,107,107,10860,32641
2026-08-06 08:40:00+00:00,1786005600000,107,106,12664,22920
2026-08-06 08:45:00+00:00,1786005900000,107,105,66928,59936
2026-08-06 08:50:00+00:00,1786006200000,107,104,65093,167488
2026-08-06 08:55:00+00:00,1786006500000,107,104,117769,33428
2026-08-06 09:00:00+00:00,1786006800000,107,104,152711,5764
2026-08-06 09:05:00+00:00,1786007100000,107,105,121723,16679
2026-08-06 09:10:00+00:00,1786007400000,107,104,43389,21470
2026-08-06 09:15:00+00:00,1786007700000,107,104,83683,23044
2026-08-06 09:20:00+00:00,1786008000000,107,107,23790,30160
2026-08-06 09:25:00+00:00,1786008300000,107,107,29534,8762
2026-08-06 09:30:00+00:00,1786008600000,107,106,36222,30728
